## Antonov et al. (2002) alpha(BCC) - epsilon'(dHCP) boundary
## 1 circle, 2 up triangle, 3 plus, 4 times, 5 diamond, 6 down triangle,
## 7 square +, 8 + x, 9 diamond +,  10 O +, 11 up down triangle, 12 square +,
## 13 O x, 14 square up triangle, 15 filled square, 16 filled circle,
## 17 filled up triangle, 18 filled diamond, 19 filled circle, 20 small circle,
## 21 small large circle, 22 small large square, 23 small large diamond,
## 24 up filled triangle, 25 down filled triangle 
## x y symb size fill
2.206586e4   292.340900  19  1  1
3.225814e4   346.631215  19  1  1
3.554271e4   398.971408  19  1  1
3.657411e4   424.900119  19  1  1
4.357143e4   473.505269  19  1  1
4.784563e4   496.165764  19  1  1
4.568124e4   525.363135  19  1  1
5.000246e4   547.552818  19  1  1
4.595873e4   572.962441  19  1  1
4.755449e4   594.183928  19  1  1
4.971521e4   604.100635  19  1  1
4.496434e4   653.537566  19  1  1
## Reversal brackets (Sakamaki et al. 2009)
4.985976e4  1472.836369  500   100   6   1   0  # upper
4.979516e4  1263.135287  500   100   2   1   0  # lower
7.457028e4  1567.101139  500   100   6   1   0  # upper
7.472166e4  1357.411015  500   100   2   1   0  # lower
9.919206e4  1568.350284  500   100   6   1   0  # upper
9.921585e4  1453.355921  500   100   2   1   0  # lower
## Tagawa et al. (2022) data points
69e4  2740  7e4 120  6 1 1  # melted bracket
67e4  2480  7e4 110  2 1 1  # solid  bracket
152e4 4630 15e4 220  6 1 1  # melted
121e4 3860 12e4 180  6 1 1  # melted
142e4 4210 14e4 200  6 1 1  # melted
45e4  2110  4e4  90  6 1 1  # melted
47e4  2170  5e4  90  6 1 1  # melted
149e4 3900 15e4 110  2 1 1  # solid
113e4 3560 11e4 160  2 1 1  # solid
135e4 3610 13e4 170  2 1 1  # solid
43e4  1830  4e4  80  2 1 1  # solid
# CMB line
> L col=2
136e4  300
136e4 5300
>
# Fe melting curve
> L col=4
1.0e4 1843
2.3e4 1898
3.7e4 1951
5.0e4 2001
6.4e4 2051
7.7e4 2099
9.0e4 2145
10.4e4 2191
11.7e4 2236
13.1e4 2279
14.4e4 2322
15.7e4 2364
17.1e4 2405
18.4e4 2445
19.8e4 2485
21.1e4 2523
22.4e4 2561
23.8e4 2599
25.1e4 2635
26.5e4 2671
27.8e4 2706
29.1e4 2741
30.5e4 2775
31.8e4 2808
33.2e4 2840
34.5e4 2872
35.8e4 2904
37.2e4 2935
38.5e4 2965
39.9e4 2994
41.2e4 3023
42.5e4 3052
43.9e4 3080
45.2e4 3107
46.6e4 3134
47.9e4 3160
49.2e4 3186
50.6e4 3211
51.9e4 3235
53.3e4 3259
54.6e4 3283
55.9e4 3306
57.3e4 3329
58.6e4 3351
60.0e4 3373
61.3e4 3394
62.6e4 3415
64.0e4 3435
65.3e4 3455
66.7e4 3475
68.0e4 3494
69.3e4 3513
70.7e4 3531
72.0e4 3549
73.4e4 3567
74.7e4 3584
76.0e4 3601
77.4e4 3617
78.7e4 3633
80.1e4 3649
81.4e4 3665
82.7e4 3680
84.1e4 3694
85.4e4 3709
86.8e4 3723
88.1e4 3737
89.4e4 3751
90.8e4 3764
92.1e4 3777
93.5e4 3790
94.8e4 3802
96.1e4 3814
97.5e4 3826
98.8e4 3838
100.2e4 3849
101.5e4 3860
102.8e4 3871
104.2e4 3882
105.5e4 3893
106.9e4 3903
108.2e4 3913
109.5e4 3923
110.9e4 3933
112.2e4 3942
113.6e4 3951
114.9e4 3960
116.2e4 3969
117.6e4 3978
118.9e4 3986
120.3e4 3995
121.6e4 4003
122.9e4 4019
124.3e4 4038
125.6e4 4058
127.0e4 4077
128.3e4 4097
129.6e4 4116
131.0e4 4135
132.3e4 4153
133.7e4 4172
135.0e4 4191
>
